host_response_time,host_response_time_skala,host_identity_verified,host_is_superhost,host_total_listings_count,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
within an hour,1,1,0,1,Charlottenburg-Wilm.,Apartment,Entire home/apt,5,1,1,2,Real Bed,100,200,50,3,2,365,4,7,12,225,379,94,1,flexible
,,1,1,1,Tempelhof - Schoenenberg,Apartment,Entire home/apt,2,1,1,2,Real Bed,32,960,0,2,62,200,0,0,10,167,51,93,0,strict_14_with_grace_period
within a day,3,0,0,4,Treptow - Koepenick,House,Entire home/apt,10,1.5,2,5,Real Bed,120,200,50,2,3,365,27,57,71,200,7,77,1,strict_14_with_grace_period
within an hour,1,0,1,1,Mitte,Apartment,Private room,1,1,1,1,Real Bed,25,0,0,1,2,7,0,5,10,248,246,96,1,strict_14_with_grace_period
within an hour,1,1,1,1,Steglitz - Zehlendorf,Apartment,Entire home/apt,2,1,1,1,Real Bed,59,300,35,1,3,31,0,0,4,91,68,98,1,strict_14_with_grace_period
,,1,0,2,Pankow,Apartment,Entire home/apt,3,1,1,2,Real Bed,45,200,40,1,28,240,0,0,0,0,14,86,0,strict_14_with_grace_period
,,0,0,1,Mitte,Apartment,Entire home/apt,2,,1,1,Futon,80,100,0,2,4,365,0,0,0,0,79,97,0,moderate
,,0,0,1,Mitte,Apartment,Private room,2,1,1,1,Real Bed,49,250,10,1,1,20,0,0,0,0,40,95,0,moderate
within a day,3,0,1,2,Pankow,Apartment,Entire home/apt,5,1,2,5,Real Bed,50,800,80,3,120,360,0,0,0,142,25,98,0,strict_14_with_grace_period
within a few hours,2,0,0,2,Pankow,Apartment,Entire home/apt,2,1,1,1,Pull-out Sofa,75,300,30,2,3,1125,0,0,0,0,0,,0,strict_14_with_grace_period
a few days or more,4,1,0,1,Charlottenburg-Wilm.,House,Entire home/apt,2,,1,1,Real Bed,89,450,45,1,6,90,30,60,90,365,3,73,0,flexible
