host_response_time,host_response_time_skala,host_identity_verified,host_is_superhost,host_total_listings_count,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
within an hour,1,1,0,6,Mitte,Apartment,Entire home/apt,3,1,1,2,Real Bed,32,850,70,2,60,365,0,0,0,0,0,,1,moderate
within a day,3,0,0,2,Charlottenburg-Wilm.,Apartment,Private room,1,1,1,1,Real Bed,26,500,50,1,7,180,0,0,0,38,6,97,0,moderate
within a few hours,2,0,0,2,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,1800,85,1,60,180,0,0,0,240,0,,0,strict_14_with_grace_period
within an hour,1,1,1,3,Neukoelln,Apartment,Private room,2,1.5,1,1,Real Bed,40,500,0,1,2,1125,0,0,0,0,14,97,0,moderate
,,1,0,2,Mitte,Apartment,Private room,2,1.5,1,1,Real Bed,27,0,15,1,3,6,0,0,0,0,2,90,0,moderate
,,0,0,1,Tempelhof - Schoenenberg,Apartment,Entire home/apt,4,1,2,2,Real Bed,70,0,0,1,2,7,0,0,0,0,0,,0,flexible
a few days or more,4,0,0,1,Charlottenburg-Wilm.,Apartment,Entire home/apt,3,1,1,2,Real Bed,50,0,20,1,2,1125,6,16,16,16,39,91,0,moderate
a few days or more,4,1,0,1,Lichtenberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,49,0,0,1,1,1125,0,0,26,26,10,100,0,flexible
within a day,3,1,0,2,Mitte,Apartment,Entire home/apt,2,1,1,1,Real Bed,95,0,0,1,1,25,23,53,83,358,0,,0,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,26,100,0,1,5,1125,0,0,0,0,1,100,0,moderate
within an hour,1,1,1,2,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,1,2,Real Bed,99,100,40,2,3,200,4,10,18,259,93,98,0,strict_14_with_grace_period
,,1,0,1,Lichtenberg,Apartment,Private room,2,1,1,1,Real Bed,23,0,0,1,1,21,0,0,0,0,0,,0,flexible
within a day,3,0,0,2,Mitte,Apartment,Private room,1,1,1,1,Real Bed,24,0,10,1,1,1125,1,10,10,24,25,91,0,flexible
,,1,0,2,Treptow - Koepenick,Apartment,Entire home/apt,6,1,2,3,Real Bed,60,100,50,1,1,30,0,0,0,0,6,100,0,moderate
,,0,0,1,Neukoelln,Apartment,Private room,1,1,1,1,Real Bed,70,0,20,1,1,7,0,0,0,0,1,100,0,moderate
within a few hours,2,1,0,20,Spandau,Apartment,Entire home/apt,3,1,0,2,Real Bed,33,200,50,1,30,183,0,0,23,145,4,100,0,strict_14_with_grace_period
within an hour,1,0,0,2,Lichtenberg,Apartment,Private room,1,1,1,1,Real Bed,15,0,0,1,1,1125,0,0,0,0,7,89,0,strict_14_with_grace_period
,,0,0,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,29,0,25,1,2,1125,0,0,0,0,34,97,0,moderate
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,0,1,Real Bed,35,0,0,1,14,1125,0,0,0,0,1,,0,flexible
within a day,3,0,0,1,Pankow,Apartment,Private room,1,1,1,1,Real Bed,50,400,35,1,2,1125,0,0,7,7,30,98,0,strict_14_with_grace_period
within a day,3,1,0,2,Lichtenberg,Apartment,Private room,2,1,1,1,Real Bed,20,0,0,1,3,1125,0,0,0,0,2,100,0,strict_14_with_grace_period
,,0,0,2,Friedrichshain-Kreuzberg,Apartment,Private room,3,1,1,3,Real Bed,75,0,30,3,2,1125,0,0,0,0,0,,1,flexible
within a few hours,2,0,0,1,Charlottenburg-Wilm.,House,Entire home/apt,5,2,4,4,Real Bed,320,1000,120,1,2,1125,1,9,31,298,14,100,0,strict_14_with_grace_period
within an hour,1,0,0,9,Mitte,Apartment,Entire home/apt,12,1.5,3,8,Real Bed,249,100,65,1,1,1125,11,24,37,114,92,92,1,strict_14_with_grace_period
within an hour,1,1,1,1,Pankow,Apartment,Entire home/apt,2,1,1,1,Real Bed,39,250,25,1,21,60,3,9,32,32,32,95,0,moderate
,,0,0,1,Pankow,Apartment,Entire home/apt,2,1,1,2,Real Bed,35,250,0,1,1,1125,0,0,0,0,1,100,0,flexible
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,1,2,1,1,Real Bed,17,0,4,1,5,1125,0,0,0,0,4,80,0,moderate
,,0,0,1,Charlottenburg-Wilm.,Apartment,Entire home/apt,2,1,1,1,Real Bed,45,200,10,1,5,60,0,0,0,0,2,100,1,moderate
within a day,3,0,0,1,Treptow - Koepenick,Apartment,Entire home/apt,4,1,2,3,Real Bed,90,0,0,1,5,1125,8,9,9,9,0,,1,flexible
within a few hours,2,1,0,1,Treptow - Koepenick,Apartment,Private room,1,1,1,1,Real Bed,35,0,0,1,2,1125,9,39,69,69,24,98,0,moderate
,,0,0,1,Pankow,Apartment,Private room,1,1,1,1,Real Bed,40,0,15,1,1,1125,30,60,90,90,3,70,1,moderate
within an hour,1,1,1,1,Steglitz - Zehlendorf,Apartment,Entire home/apt,2,1,1,1,Real Bed,55,190,30,1,2,7,12,30,60,214,47,98,0,strict_14_with_grace_period
a few days or more,4,0,0,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,28,150,15,1,2,1125,0,0,0,133,9,89,0,flexible
,,1,0,2,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,25,0,0,1,3,30,0,0,0,133,5,95,0,flexible
within a day,3,1,0,2,Charlottenburg-Wilm.,Apartment,Entire home/apt,3,1,2,2,Real Bed,50,1500,160,2,120,1125,12,42,72,347,0,,0,strict_14_with_grace_period
,,1,0,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,19,0,15,1,1,14,0,0,0,0,1,100,0,flexible
,,0,0,3,Pankow,Apartment,Shared room,2,1,1,1,Real Bed,65,0,0,1,2,1125,0,0,0,0,0,,0,flexible
within an hour,1,0,1,12,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,1,3,Real Bed,98,149,40,2,2,1125,10,15,35,301,78,98,1,moderate
a few days or more,4,0,0,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,80,0,40,1,2,1125,28,58,88,88,5,100,0,moderate
,,0,0,1,Mitte,Apartment,Private room,2,1,1,1,Real Bed,20,0,0,1,3,1125,0,0,0,0,5,92,0,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,0,1,Real Bed,38,150,0,1,20,22,0,0,0,0,0,,1,moderate
within a day,3,0,1,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,50,0,20,1,2,6,0,0,0,0,47,99,0,moderate
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,1,1,1,1,Real Bed,20,0,0,1,5,1125,0,0,0,0,0,,0,moderate
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Shared room,2,1,1,1,Real Bed,100,1000,0,1,2,1125,28,58,88,88,12,98,0,flexible
within a day,3,1,1,1,Neukoelln,Apartment,Entire home/apt,4,1,2,2,Real Bed,115,0,0,2,2,1125,7,30,60,150,21,97,0,strict_14_with_grace_period
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,3,1,1,2,Real Bed,20,150,0,1,2,9,0,0,0,0,0,,0,flexible
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,50,0,0,1,7,1125,0,0,0,0,1,100,0,flexible
a few days or more,4,1,0,1,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,25,0,0,1,1,1125,0,0,0,132,7,100,0,flexible
within an hour,1,0,0,1,Charlottenburg-Wilm.,Apartment,Private room,2,1,1,3,Real Bed,40,0,25,2,3,4,5,5,5,5,2,100,0,flexible
,,0,0,1,Mitte,Apartment,Entire home/apt,2,1,1,1,Real Bed,40,0,0,1,1,1125,0,0,0,0,0,,1,flexible
,,0,0,1,Charlottenburg-Wilm.,Apartment,Entire home/apt,6,1,2,2,Real Bed,27,100,30,1,26,27,30,60,90,90,5,93,1,moderate
within an hour,1,0,0,1,Mitte,Apartment,Entire home/apt,4,1,2,2,Real Bed,185,250,40,1,3,1125,9,19,41,274,7,100,1,strict_14_with_grace_period
within a day,3,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,2,2,2,Real Bed,80,100,0,2,6,1125,0,0,0,0,2,100,0,moderate
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,7,1,2,3,Real Bed,74,0,0,1,3,8,0,0,0,0,2,100,0,flexible
within an hour,1,0,1,2,Treptow - Koepenick,House,Private room,2,1,1,2,Real Bed,29,0,0,1,1,90,0,25,49,324,81,98,0,moderate
,,1,0,1,Mitte,Apartment,Entire home/apt,3,1,2,2,Real Bed,38,0,30,1,10,30,0,0,0,0,0,,1,strict_14_with_grace_period
within a day,3,1,1,1,Charlottenburg-Wilm.,Apartment,Private room,1,1,1,1,Real Bed,25,200,25,1,1,1125,3,3,4,279,35,99,0,strict_14_with_grace_period
within a few hours,2,1,1,1,Charlottenburg-Wilm.,Apartment,Entire home/apt,4,1,2,2,Real Bed,65,0,40,1,2,1125,1,1,1,1,72,99,0,moderate
,,0,0,1,Lichtenberg,Apartment,Shared room,1,1,1,1,Real Bed,15,0,0,1,1,7,0,0,0,0,10,78,1,flexible
within an hour,1,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,3,1,1,1,Real Bed,70,300,25,2,2,1125,4,4,4,4,10,100,0,flexible
,,1,0,1,Tempelhof - Schoenenberg,Apartment,Private room,2,1.5,1,1,Real Bed,40,0,0,1,2,1125,0,0,0,0,4,90,0,flexible
within a few hours,2,1,0,18,Charlottenburg-Wilm.,Apartment,Entire home/apt,4,1,2,2,Real Bed,33,0,50,1,30,120,10,39,39,279,6,84,0,strict_14_with_grace_period
,,0,0,1,Pankow,Apartment,Entire home/apt,4,1,1,2,Real Bed,100,0,0,1,4,7,0,0,0,0,0,,1,flexible
within a day,3,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,90,100,50,1,3,1125,0,0,0,0,13,100,0,strict_14_with_grace_period
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,45,0,10,1,2,1125,0,0,0,0,47,97,1,moderate
within a few hours,2,0,1,1,Pankow,Apartment,Private room,1,1,1,2,Real Bed,35,0,0,1,2,7,14,44,74,74,58,98,0,moderate
within an hour,1,0,0,12,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,7,1,3,3,Real Bed,130,250,29,4,1,1125,16,31,51,110,173,80,1,strict_14_with_grace_period
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,46,150,25,1,2,21,0,0,0,0,9,90,1,strict_14_with_grace_period
,,0,0,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,35,0,20,2,1,15,0,0,0,0,13,97,0,moderate
,,1,0,1,Pankow,Apartment,Entire home/apt,2,1,1,1,Real Bed,52,200,40,2,2,30,0,0,0,0,11,98,0,moderate
,,1,0,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,18,0,0,1,1,1125,0,0,0,0,0,,0,flexible
within an hour,1,0,1,1,Pankow,Apartment,Entire home/apt,4,1,2,2,Real Bed,80,0,40,2,2,90,1,20,24,291,61,96,0,moderate
within an hour,1,1,0,8,Charlottenburg-Wilm.,Apartment,Private room,2,1.5,1,1,Real Bed,60,0,0,1,2,1125,12,42,72,72,16,96,0,moderate
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,48,350,35,1,5,90,0,0,0,0,7,97,0,flexible
within a few hours,2,1,0,20,Charlottenburg-Wilm.,Apartment,Entire home/apt,4,1,2,4,Real Bed,90,200,50,1,3,20,3,6,9,245,39,90,1,strict_14_with_grace_period
,,1,0,1,Mitte,Apartment,Entire home/apt,6,2,3,3,Real Bed,90,0,30,4,3,25,0,0,0,0,5,100,1,strict_14_with_grace_period
within a day,3,1,0,2,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,30,0,0,2,3,1125,1,1,1,1,12,95,0,moderate
within a few hours,2,0,1,4,Tempelhof - Schoenenberg,Apartment,Entire home/apt,2,1,1,2,Real Bed,50,0,50,1,4,1125,5,8,14,21,38,98,0,strict_14_with_grace_period
,,0,0,1,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,35,0,0,1,25,1125,0,0,28,28,5,96,0,moderate
,,0,0,2,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,35,95,5,1,2,1125,0,0,0,0,4,93,0,moderate
,,1,0,1,Mitte,Apartment,Entire home/apt,4,1,2,2,Real Bed,27,200,25,1,2,1125,0,0,0,0,1,100,0,strict_14_with_grace_period
within an hour,1,1,1,1,Pankow,Apartment,Private room,1,1,1,1,Real Bed,28,0,10,1,1,1125,5,35,65,65,99,97,0,strict_14_with_grace_period
within a few hours,2,0,0,1,Tempelhof - Schoenenberg,Apartment,Entire home/apt,4,1,2,4,Real Bed,60,0,15,2,7,14,5,5,5,5,5,100,0,moderate
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,55,0,0,1,1,10,0,0,0,0,0,,0,flexible
within an hour,1,1,0,4,Pankow,Apartment,Private room,1,1,1,1,Real Bed,35,0,0,1,3,90,0,0,0,263,6,97,0,strict_14_with_grace_period
within a day,3,0,0,1,Mitte,Apartment,Entire home/apt,2,1,1,1,Real Bed,70,100,40,2,7,1125,0,0,0,132,11,100,0,moderate
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,1,1,1,1,Real Bed,55,0,0,1,1,12,0,0,0,0,0,,1,flexible
within an hour,1,1,0,8,Charlottenburg-Wilm.,Apartment,Private room,6,1.5,3,4,Real Bed,170,0,0,6,2,1125,0,0,0,0,22,92,0,moderate
,,0,0,1,Mitte,Apartment,Private room,3,1,1,1,Real Bed,30,0,0,1,1000,10000,28,58,88,88,1,100,0,moderate
,,1,0,2,Mitte,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,0,30,1,3,21,0,0,0,0,2,90,1,moderate
,,0,0,1,Pankow,Apartment,Entire home/apt,2,1,1,1,Real Bed,40,0,0,1,4,26,0,0,0,0,8,95,1,moderate
,,1,0,1,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,21,0,0,1,3,14,0,0,0,0,11,91,0,flexible
,,0,0,1,Tempelhof - Schoenenberg,Apartment,Private room,2,1,1,1,Real Bed,19,0,10,1,7,30,0,0,0,0,1,100,0,flexible
within an hour,1,1,0,1,Mitte,Apartment,Private room,2,2,1,1,Real Bed,37,0,18,1,2,1125,5,5,5,5,55,98,1,moderate
within an hour,1,1,1,1,Steglitz - Zehlendorf,Apartment,Entire home/apt,2,1,1,2,Real Bed,59,0,15,1,180,360,0,0,0,6,28,97,1,strict_14_with_grace_period
within an hour,1,1,0,3,Steglitz - Zehlendorf,Apartment,Entire home/apt,3,1,2,1,Real Bed,60,0,15,2,4,1125,0,0,0,0,4,95,0,moderate
within an hour,1,0,0,1,Treptow - Koepenick,Apartment,Entire home/apt,9,3,4,9,Real Bed,135,300,50,4,3,1125,7,13,13,70,36,95,0,strict_14_with_grace_period
,,1,0,1,Lichtenberg,Apartment,Private room,3,1,1,1,Real Bed,35,0,15,2,2,1125,0,0,0,133,22,97,0,moderate
within a few hours,2,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,1,2,Real Bed,125,250,40,2,3,30,13,24,36,296,89,94,0,strict_14_with_grace_period
within an hour,1,0,1,1,Mitte,Apartment,Private room,1,1,1,1,Real Bed,16,200,10,1,1,6,0,0,0,1,136,96,1,moderate
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,2,2,Real Bed,37,500,20,2,4,121,0,0,0,0,39,91,1,moderate
,,1,0,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,30,200,5,1,1,21,0,0,0,0,7,100,0,strict_14_with_grace_period
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,4,1,2,2,Real Bed,35,0,0,1,3,14,0,0,0,0,2,90,1,flexible
,,0,0,1,Tempelhof - Schoenenberg,Apartment,Private room,2,1,1,1,Real Bed,39,0,15,1,3,31,0,0,0,0,11,100,0,moderate
,,1,0,1,Pankow,Apartment,Private room,1,1,1,1,Real Bed,42,200,25,1,3,7,0,0,11,286,12,96,0,strict_14_with_grace_period
a few days or more,4,1,0,1,Charlottenburg-Wilm.,House,Private room,2,1,1,1,Real Bed,50,0,0,1,3,7,23,53,83,83,3,100,1,moderate
within an hour,1,0,1,2,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,25,0,10,1,2,40,1,1,1,1,46,99,1,strict_14_with_grace_period
within an hour,1,1,0,1,Neukoelln,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,0,20,2,3,1125,0,0,0,0,23,99,0,moderate
,,0,0,1,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,60,0,0,1,1,1125,0,0,0,0,0,,1,flexible
within a day,3,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,3,1,1,3,Real Bed,29,100,8,1,4,1125,0,0,0,9,9,95,0,flexible
within an hour,1,0,1,12,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,1,3,Real Bed,94,150,40,2,2,1125,13,29,40,310,60,98,1,moderate
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,3,1,1,2,Real Bed,40,0,50,1,5,1125,0,0,0,0,7,100,0,strict_14_with_grace_period
within an hour,1,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,5,1,3,3,Real Bed,160,0,0,1,2,12,0,5,12,12,9,100,1,moderate
a few days or more,4,0,0,2,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,30,0,30,1,3,731,0,7,17,244,8,95,0,strict_14_with_grace_period
,,0,0,1,Charlottenburg-Wilm.,Apartment,Entire home/apt,3,1,0,1,Real Bed,40,500,20,1,4,1125,0,0,0,0,0,,0,flexible
,,1,0,2,Mitte,Apartment,Private room,2,1,1,1,Real Bed,45,0,15,1,1,1125,0,0,0,0,1,100,0,flexible
within a day,3,0,0,7,Steglitz - Zehlendorf,Apartment,Entire home/apt,2,1,1,1,Real Bed,26,680,40,1,60,1125,16,16,24,129,3,100,0,strict_14_with_grace_period
within an hour,1,1,0,3,Reinickendorf,Apartment,Private room,2,1,1,1,Real Bed,15,0,10,1,1,7,0,0,0,0,30,92,1,strict_14_with_grace_period
within a day,3,0,0,1,Mitte,Apartment,Entire home/apt,2,1,2,1,Real Bed,150,0,35,1,5,7,25,55,85,85,23,98,0,moderate
,,0,0,1,Neukoelln,Apartment,Entire home/apt,2,1,1,1,Real Bed,54,0,0,1,5,1125,0,0,0,0,0,,0,flexible
within an hour,1,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,2,2,2,Real Bed,165,2000,70,4,5,40,0,0,3,3,3,100,0,strict_14_with_grace_period
a few days or more,4,1,0,1,Mitte,Apartment,Private room,2,1,1,1,Real Bed,40,0,15,1,3,30,27,57,87,87,12,98,0,flexible
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,1,2,1,1,Real Bed,25,0,0,1,3,20,0,0,0,0,2,100,1,flexible
,,0,0,1,Neukoelln,Apartment,Private room,1,1,1,1,Real Bed,18,0,0,1,3,31,0,0,0,0,0,,1,flexible
,,1,0,1,Mitte,Apartment,Private room,2,1,1,1,Real Bed,30,0,0,1,2,1125,0,0,0,0,0,,0,flexible
within an hour,1,0,1,1,Pankow,Apartment,Entire home/apt,3,1,1,1,Real Bed,75,0,50,1,3,1125,4,5,14,24,20,99,0,strict_14_with_grace_period
within an hour,1,0,1,1,Friedrichshain-Kreuzberg,Apartment,Private room,1,1,1,1,Real Bed,23,0,18,1,2,6,1,12,31,31,147,98,1,strict_14_with_grace_period
,,0,0,1,Tempelhof - Schoenenberg,Apartment,Private room,2,1,1,1,Real Bed,50,0,0,1,1,1125,0,0,0,0,0,,0,flexible
,,1,0,2,Pankow,Apartment,Entire home/apt,4,1,2,2,Real Bed,75,0,25,4,7,10,0,0,0,0,4,87,0,moderate
,,0,0,1,Tempelhof - Schoenenberg,Apartment,Private room,4,1,1,2,Real Bed,25,0,10,2,7,21,0,0,0,0,0,,1,flexible
,,1,0,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,28,0,35,1,20,20,0,0,0,0,1,100,1,strict_14_with_grace_period
,,1,0,2,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,60,0,19,1,2,14,0,0,0,0,7,97,0,strict_14_with_grace_period
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,43,0,50,1,7,30,0,0,0,0,3,100,0,moderate
,,1,0,1,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,18,0,0,1,2,35,0,0,0,0,4,100,0,flexible
within a day,3,0,0,12,Pankow,Apartment,Private room,1,1,1,1,Real Bed,32,0,30,1,60,1125,18,18,30,305,4,100,0,strict_14_with_grace_period
within a few hours,2,0,0,1,Neukoelln,Apartment,Private room,4,1,1,2,Real Bed,80,0,50,1,3,125,5,5,5,5,13,98,1,strict_14_with_grace_period
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,48,0,20,1,2,1125,0,0,0,0,17,96,0,strict_14_with_grace_period
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,6,1,2,2,Real Bed,80,0,50,2,5,1125,0,0,0,0,5,100,0,moderate
within a few hours,2,0,0,4,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,0,1,Real Bed,55,0,0,1,5,14,0,0,0,97,7,87,1,flexible
,,0,0,1,Neukoelln,Apartment,Private room,1,1,1,1,Real Bed,35,0,0,1,2,14,0,0,0,0,0,,0,flexible
,,0,0,1,Mitte,Apartment,Private room,1,1,0,1,Real Bed,38,0,0,1,4,1125,0,0,0,0,0,,1,flexible
within an hour,1,0,0,1,Mitte,Apartment,Private room,2,1.5,1,1,Real Bed,59,0,0,1,2,30,7,16,17,17,172,98,1,strict_14_with_grace_period
within an hour,1,0,1,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,30,0,20,1,1,1125,0,2,8,78,47,96,0,flexible
within an hour,1,0,0,9,Mitte,Apartment,Entire home/apt,4,1,1,4,Real Bed,59,94,45,1,1,1125,3,12,20,100,112,89,1,strict_14_with_grace_period
within a day,3,0,0,1,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,54,0,25,2,7,62,18,48,78,78,57,98,0,strict_14_with_grace_period
within an hour,1,1,0,1,Neukoelln,Apartment,Entire home/apt,2,1,1,2,Real Bed,65,0,30,1,5,21,0,0,0,0,16,99,0,strict_14_with_grace_period
within an hour,1,1,0,5,Mitte,Apartment,Entire home/apt,3,1,1,2,Real Bed,80,400,50,2,4,90,5,14,18,224,71,97,1,strict_14_with_grace_period
within a day,3,0,1,1,Tempelhof - Schoenenberg,Apartment,Private room,2,1,1,1,Real Bed,25,0,0,1,3,30,0,0,0,0,43,98,0,flexible
,,0,0,1,Friedrichshain-Kreuzberg,House,Entire home/apt,2,1,0,1,Real Bed,45,250,0,1,3,7,0,0,0,0,1,100,0,flexible
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,52,0,0,1,3,14,0,0,0,0,0,,0,flexible
a few days or more,4,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,3,1,1,2,Real Bed,60,0,10,2,2,1125,13,43,73,73,25,96,0,moderate
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,1,2,Real Bed,60,500,30,2,1,1125,0,0,0,119,2,100,0,strict_14_with_grace_period
,,0,0,2,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,3,1,0,1,Real Bed,41,0,8,1,1,1125,0,0,0,0,0,,1,flexible
,,1,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,40,0,15,1,4,50,0,0,0,0,9,98,0,flexible
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,39,0,0,1,3,10,0,0,0,0,0,,0,flexible
within an hour,1,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,39,0,20,1,1,1125,5,5,6,274,22,99,1,moderate
within an hour,1,1,1,10,Tempelhof - Schoenenberg,House,Entire home/apt,16,7,10,15,Real Bed,885,0,0,1,2,1125,5,16,22,244,7,100,1,strict_14_with_grace_period
,,0,0,1,Pankow,Apartment,Entire home/apt,2,1,1,1,Real Bed,30,0,0,1,3,1125,0,0,0,0,3,93,1,flexible
,,0,0,1,Tempelhof - Schoenenberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,0,40,1,6,1125,0,0,0,0,11,100,0,strict_14_with_grace_period
,,0,0,1,Neukoelln,Apartment,Private room,2,1,1,1,Real Bed,22,0,0,1,7,10,0,0,0,0,0,,1,flexible
within an hour,1,1,0,4,Pankow,Apartment,Private room,2,1.5,1,1,Real Bed,39,0,0,1,5,30,8,8,8,8,25,92,1,strict_14_with_grace_period
within an hour,1,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,4,1,2,1,Real Bed,61,0,15,2,2,12,0,0,0,0,23,98,0,moderate
within a day,3,0,0,5,Charlottenburg-Wilm.,Apartment,Entire home/apt,8,2,4,4,Real Bed,352,300,50,1,1,10,0,12,42,307,13,88,0,flexible
within an hour,1,0,0,4,Neukoelln,House,Private room,2,1,1,1,Real Bed,20,89,36,1,1,30,12,32,40,40,47,95,1,strict_14_with_grace_period
within a few hours,2,0,0,20,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,2,1,1,1,Real Bed,133,0,59,2,5,1124,11,27,47,165,65,97,0,strict_14_with_grace_period
within an hour,1,0,1,12,Friedrichshain-Kreuzberg,Apartment,Entire home/apt,4,1,1,3,Real Bed,98,150,40,2,2,75,5,11,16,251,86,96,1,moderate
within a day,3,1,0,1,Mitte,Apartment,Private room,2,1,1,1,Real Bed,55,0,25,1,3,1125,29,56,86,86,14,99,0,flexible
,,0,0,1,Neukoelln,Apartment,Entire home/apt,2,1,1,2,Real Bed,50,0,0,1,7,29,0,0,0,0,1,100,1,flexible
within a day,3,1,1,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,0,1,Real Bed,52,0,5,1,3,1125,6,34,64,244,49,96,0,strict_14_with_grace_period
within an hour,1,1,1,1,Pankow,Apartment,Private room,2,1,1,1,Real Bed,30,0,30,1,4,30,0,0,0,0,38,99,1,moderate
,,1,0,1,Pankow,Apartment,Private room,2,2,1,1,Real Bed,45,0,45,1,13,62,0,0,0,0,3,100,0,moderate
,,0,0,1,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,71,0,25,2,2,100,0,0,0,0,1,60,0,moderate
within a few hours,2,0,1,1,Treptow - Koepenick,Apartment,Private room,2,1,1,1,Real Bed,32,0,0,1,3,90,2,4,4,4,143,95,0,strict_14_with_grace_period
,,0,0,1,Mitte,Apartment,Private room,2,1,1,2,Real Bed,15,0,0,1,6,1125,0,0,0,0,2,100,0,flexible
,,1,0,2,Friedrichshain-Kreuzberg,Apartment,Private room,2,1,1,1,Real Bed,25,150,25,1,4,20,0,0,0,0,1,80,0,moderate
